0	1	2	3
PP_2038		Long-chain-fatty-acid--CoA ligase	
PP_2013			Calcineurin-like phosphoesterase domain-containing protein
PP_1951		Oxidoreductase, short chain dehydrogenase/reductase family	
PP_1941			HTH tetR-type domain-containing protein
PP_1914	fabG		3-oxoacyl-[acyl-carrier-protein] reductase
PP_1889	fimD	Type 1 pili subunit FimD	
PP_1872	alaA	Glutamate-pyruvate aminotransferase	
PP_1834		Uncharacterized protein	
PP_1761	yegE	Diguanylate cyclase with phosphodiesterase domain	
PP_1682		Glycoside hydrolase family protein	
PP_1654	cysM		Cysteine synthase
PP_1369			DUF2334 domain-containing protein
PP_1282	algX		Alginate biosynthesis protein AlgX
PP_1268		HtrA suppressor protein sohA	
PP_1255		Cis-4-hydroxy-D-proline oxidase	
PP_1246		Uncharacterized protein	
PP_1211			Ribbon-helix-helix domain-containing protein
PP_1115		Lipoprotein	
PP_1062		MutT/nudix family protein	
PP_1015	gtsA	Mannose/glucose ABC transporter, glucose-binding periplasmic protein	
PP_0993			DUF2282 domain-containing protein
PP_0946	sodA		Superoxide dismutase
PP_0900		PAP2 family protein	
PP_0857	der		GTPase Der
PP_0827	ptxC	Phosphonate transport system permease protein PtxC	
PP_0774	pta		Phosphate acetyltransferase
PP_0627			DUF3094 domain-containing protein
PP_0599		Paraquat-inducible protein B	
PP_0414		Polyamine ABC transporter, permease protein	
PP_0381	pqqF		Coenzyme PQQ synthesis protein F
PP_0327	purU-I		Formyltetrahydrofolate deformylase
PP_0324	soxD	Sarcosine oxidase subunit delta	
PP_0217	desA	Delta-9 fatty acid desaturase	
PP_0192	fkl		Peptidyl-prolyl cis-trans isomerase
PP_0132	kinB		histidine kinase
PP_0069		Rossmann fold nucleotide-binding protein	
PP_0018			TIGR04255 family protein
PP_5540		Uncharacterized protein	
PP_5628			Carrier domain-containing protein
PP_5733		Metal-binding protein	
PP_0966	hisD		Histidinol dehydrogenase
PP_5385	czcC	Metal RND efflux outer membrane protein, CzcC family	
PP_5347	pycA	Pyruvate carboxylase subunit A	
PP_5300		Transcriptional regulator, LysR family	
PP_5293			Orotate phosphoribosyltransferase
PP_5278	kauB	4-guanidinobutyraldehyde dehydrogenase	
PP_5205			EVE domain-containing protein
PP_5167			Alpha/beta hydrolase
PP_5143			Probable membrane transporter protein
PP_5099			DUF4426 domain-containing protein
PP_5053	secB		Protein-export protein SecB
PP_5016	tatA-II		Sec-independent protein translocase protein TatA
PP_4986		Channel protein, hemolysin III family	
PP_4937		Toluene tolerance protein	
PP_4866	braD	High-affinity branched-chain amino acid transport system permease protein BraD	
PP_4807	mrdA-II		Peptidoglycan D,D-transpeptidase MrdA
PP_4782	thiD	Phosphomethylpyrimidine kinase	
PP_4739			DUF3077 domain-containing protein
PP_4704			DUF748 domain-containing protein
PP_4703			ER-bound oxygenase mpaB/mpaB'/Rubber oxygenase catalytic domain-containing protein
PP_4659	ggt		Glutathione hydrolase proenzyme
PP_4637		5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase family protein	
PP_4625	cidB	Anti-holin regulator of holin CidA	
PP_4576	ybgJ	Allophanate hydrolase subunit	
PP_4541	ppiA		Peptidyl-prolyl cis-trans isomerase
PP_4532	srmB	ATP-dependent DEAD-box RNA helicase require for 50S ribosomal subunit biogenesis	
PP_4531			Secreted protein
PP_4379		Beta-ketoacyl-acyl-carrier-protein synthase I	
PP_4369	fliF		Flagellar M-ring protein
PP_4281	guaD		Guanine deaminase
PP_4216	pvdE	Pyoverdine ABC export system, fused ATPase and permease components	
PP_4197		Transcriptional regulator, GntR family	
PP_4103			Phosphate transporter
PP_4097	pgsA	CDP-diacylglycerol-glycerol-3-phosphate 3-phosphatidyltransferase	
PP_4067	mccA	Methylcrotonyl-CoA carboxylase biotin-containing subunit alpha	
PP_4008	clpA	ATP-dependent serine protease	
PP_3992	xanP	Xanthine permease	
PP_3967		MutT/nudix family protein	
PP_3880		Uncharacterized protein	
PP_3824			Lipoprotein
PP_3741	mrdA-I		Peptidoglycan D,D-transpeptidase MrdA
PP_3685		Uncharacterized protein	
PP_3654		Leucine-responsive regulatory protein	
PP_3592		Transcriptional regulator, RpiR family	
PP_3567		Transcriptional regulator, LysR family	
PP_3561			Transporter
PP_3476		Type II secretion system protein G	
PP_3251			Iron-containing redox enzyme family protein
PP_3235			CBS domain-containing protein
PP_3206			NAD-dependent epimerase/dehydratase domain-containing protein
PP_3087		Excinuclease ABC subunit A	
PP_3038		Pyocin R2_PP, traC domain protein	
PP_2894			DUF2589 domain-containing protein
PP_2825		Integrase	
PP_2712		Uncharacterized protein	
PP_2700			Glutathione-dependent peroxiredoxin
PP_2678		Hydrolase	
PP_2665	agmR	Glycerol metabolism activator	
PP_2578			ABC-type transport auxiliary lipoprotein component domain-containing protein
PP_2477	iorA-I	Isoquinoline 1-oxidoreductase subunit alpha	
PP_2399			Putative DNA-binding domain-containing protein
PP_2361		Chaperone protein	
PP_2131	uup		ATP-binding protein Uup
PP_2005			CN hydrolase domain-containing protein
PP_1999	cvpA	Membrane protein required for colicin V production	
PP_1978		Transcriptional regulator, TetR family	
PP_1890		Type 1 pili chaperone protein FimC	
PP_1819		Methyl-accepting chemotaxis transducer	
PP_1798		Outer membrane efflux protein	
PP_1743	actP-I	Acetate permease	
PP_1730	apeB		Probable M18 family aminopeptidase 2
PP_1695			histidine kinase
PP_1668	hda	Regulator of DnaA that prevents premature reinitiation of DNA replication	
PP_1607	accA		Acetyl-coenzyme A carboxylase carboxyl transferase subunit alpha
PP_1601	lpxD		UDP-3-O-acylglucosamine N-acyltransferase
PP_1577		Phage tail tape meausure protein, lambda family	
PP_1566		Peptidase U35	
PP_1482	ydcV	Polyamine ABC transporter, permease protein	
PP_1396			ABM domain-containing protein
PP_1303	cysD		Sulfate adenylyltransferase subunit 2
PP_1203	dinB		DNA polymerase IV
PP_1191		S4 domain protein	
PP_0935	mreD		Rod shape-determining protein MreD
PP_0911		Uncharacterized protein	
PP_0893		ThiJ/PfpI family protein	
PP_0863			Sel1 repeat family protein
PP_0737	pagL-I		Lipid A deacylase
PP_0714		Transporter, PerM family	
PP_0643			Integrase
PP_0631	coaE		Dephospho-CoA kinase
PP_0548	ubiX		Flavin prenyltransferase UbiX
PP_0534		Transcriptional regulator PfeR	
PP_0478	rpsD		Small ribosomal subunit protein uS4
PP_0393			2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase
PP_0344	waaP		Lipopolysaccharide core heptose(I) kinase
PP_0177			DUF1656 domain-containing protein
PP_0024		Membrane-associated metal-dependent hydrolase	
PP_5452			Prevent-host-death family protein
PP_5554			tRNA/rRNA methyltransferase SpoU type domain-containing protein
PP_5604		Subtilisin-like serine protease	
PP_5607			DUF998 domain-containing protein
PP_5691		Uncharacterized protein	
PP_5350		Transcriptional regulator, RpiR family	
PP_5188		Transcriptional regulator (AsnC/Lrp family)	
PP_5106	ygdD	Conserved inner membrane protein	
PP_5089	argS		Arginine--tRNA ligase
PP_4953	yhiN	Oxidoreductase with FAD/NAD(P)-binding domain	
PP_4854	lip	Lipase	
PP_4792			DUF218 domain-containing protein
PP_4768		Exonuclease	
PP_4756	gabP-V	Gamma-aminobutyrate permease	
PP_4742	hsdS	Type I restriction-modification system, S subunit	
PP_4740	hsdR	Type I restriction enzyme EcoAI R protein	
PP_4610			Peptidase
PP_4586			M61 glycyl aminopeptidase
PP_4565	aceK		Isocitrate dehydrogenase kinase/phosphatase
PP_4549	fadD-I	Long-chain-fatty-acid/CoA ligase	
PP_4477	astB		N-succinylarginine dihydrolase
PP_4367	fliH	Flagellar assembly protein FliH	
PP_4319			Lipoprotein
PP_4249			KANL3/Tex30 alpha/beta hydrolase-like domain-containing protein
PP_4199		Lipoprotein	
PP_4165			AB hydrolase-1 domain-containing protein
PP_4139		Uncharacterized protein	
PP_4136		Transcriptional regulator, LuxR family	
PP_4104		Glutathione S-transferase family protein	
PP_3970	ybdR	Oxidoreductase, Zn-dependent and NAD(P)-binding	
PP_3867		Phage tail tube protein	
PP_3831			DNA topoisomerase
PP_3818		Periplamic phosphate-binding protein	
PP_3795		Uncharacterized protein	
PP_3763		CobF protein	
PP_3760	cheR3		Putative methyltransferase Cher3
PP_3730	aruR	Transcriptional regulatory protein AruR	
PP_3663		GGDEF domain protein	
PP_3653		Transporter, LysE family	
PP_3541			Protein MgtC
PP_3525			FAD/FMN-containing dehydrogenase
PP_3503		Sigma-54 dependent transcriptional regulator	
PP_3436	rarD	Chloramphenicol-sensitive protein	
PP_3428		Uncharacterized protein	
PP_3359		Hydroxycinnamic acid degradation regulator	
PP_3279	paaK		Phenylacetate-coenzyme A ligase
PP_3264	clsB		Cardiolipin synthase B
PP_3203		Major facilitator family transporter	
PP_3198		Ferredoxin, 2Fe-2S	
PP_3073	hbdH	3-hydroxybutyrate dehydrogenase	
PP_3071	aacs	Acetoacetyl-coenzyme A synthetase	
PP_3033		Transcriptional repressor, CI/C2 family	
PP_2954			ABM domain-containing protein
PP_2928		Saccharopine dehydrogenase	
PP_2910	lhgO	L-2-hydroxyglutarate oxidase	
PP_2826	mexT	Transcriptional regulator MexT	
PP_2802		Amino acid permease family protein	
PP_2793		Acyl-CoA dehydrogenase family protein	
PP_2791		Aminoglycoside phosphotransferase	
PP_2745		Universal stress protein family	
PP_2711		Oxidoreductase, short-chain dehydrogenase/reductase family	
PP_2662			Porin domain-containing protein
PP_2420		Outer membrane ferric siderophore receptor	
PP_2416		Iron ABC transporter, ATP-binding protein	
PP_2358		Type 1 pili subunit CsuA/B protein	
PP_2348			histidine kinase
PP_2340			Fe-S protein
PP_2289			DUF4376 domain-containing protein
PP_2150			FAD:protein FMN transferase
PP_2126		DNA-binding response regulator, LuxR family	
PP_2075			DUF6708 domain-containing protein
PP_1898		MotA/TolQ/ExbB proton channel family protein	
PP_1747			UPF0270 protein PP_1747
PP_1742	yjcH		DUF485 domain-containing protein
PP_1686			Glutathione peroxidase
PP_1652	pfeS-II		histidine kinase
PP_1631			AMP nucleosidase
PP_1600		Skp-like protein	
PP_1471	thrC		Threonine synthase
PP_1434	era		GTPase Era
PP_1400	kgtP	Alpha-ketoglutarate permease	
PP_1393		Transcriptional regulator	
PP_1249			DUF4223 domain-containing protein
PP_1198		Transcriptional regulator, Cro/CI family (HigA antitoxin like)	
PP_1087		Outer membrane protein, OmpA family	
PP_0969		Transcriptional regulator, GntR family	
PP_0955	lptC		Lipopolysaccharide export system protein LptC
PP_0944	fumC-I		Fumarate hydratase class II
PP_0940	tldD	Protease involved in Microcin B17 maturation and in sensitivity to the DNA gyrase inhibitor LetD	
PP_0939		Carbon-nitrogen hydrolase family protein	
PP_0691	proB		Glutamate 5-kinase
PP_0668		Transmembrane sensor	
PP_0664			Homoserine dehydrogenase
PP_0474	secY		Protein translocase subunit SecY
PP_0451	fusA		Elongation factor G 1
PP_0443	rplK		Large ribosomal subunit protein uL11
PP_0415	rpe		Ribulose-phosphate 3-epimerase
PP_0332		Acyltransferase	
PP_0318			DUF904 domain-containing protein
PP_0230	tauD		Alpha-ketoglutarate-dependent taurine dioxygenase
PP_5430		Uncharacterized protein	
PP_5450		Uncharacterized protein	
PP_5460		Uncharacterized protein	
PP_5479		Transcriptional regulator HTH, LysR family	
PP_5482		Uncharacterized protein	
PP_5503		CheA signal transduction histidine kinase	
PP_5575			DUF1795 domain-containing protein
PP_3399		Minor curlin subunit CsgB, nucleation component of curlin monomers	
PP_5275	yjiR	Regulator	
PP_5269	dadX		Alanine racemase, catabolic
PP_5255	ycaC-IV	Hydrolase	
PP_5157			Solute-binding protein family 3/N-terminal domain-containing protein
PP_5128	ilvD		Dihydroxy-acid dehydratase
PP_5117	yheT	Hydrolase	
PP_5097	metXS		Homoserine O-succinyltransferase
PP_4958	ygjP	Metal-dependent hydrolase	
PP_4943		Glycosyl transferase	
PP_4712	infB		Translation initiation factor IF-2
PP_4679	ilvH		Acetolactate synthase small subunit
PP_4670	TpbB	Diguanylate cyclase	
PP_4666	mmsB		3-hydroxyisobutyrate dehydrogenase
PP_4621	hmgA		Homogentisate 1,2-dioxygenase
PP_4567			DUF4265 domain-containing protein
PP_4525		Transcriptional regulator, LysR family	
PP_4451			DUF4935 domain-containing protein
PP_4431	ocd	Ornithine cyclodeaminase 1	
PP_4317		Uncharacterized protein	
PP_4120	nuoB		NADH-quinone oxidoreductase subunit B
PP_4118		Membrane protein	
PP_4037	pydX	NADP-dependent dihydropyrimidine dehydrogenase subunit	
PP_3982			AAA+ ATPase domain-containing protein
PP_3926		Short-chain dehydrogenase	
PP_3893			DNA helicase
PP_3876		Uncharacterized protein	
PP_3805	yaiW	Lipoprotein required for swarming	
PP_3667	creA	Creatinase	
PP_3648		Carboxymuconolactone decarboxylase family protein	
PP_3547		NAD(P)-binding oxidoreductase with NAD(P)-binding Rossmann-fold domain	
PP_3397			Tandem-95 repeat protein
PP_3324	folE2		GTP cyclohydrolase FolE2
PP_3257		Methyltransferase	
PP_3224		Class II aldolase/adducin domain protein	
PP_3209		Isoxanthopterin deaminase	
PP_3078		ABC transporter, periplasmic binding protein	
PP_3015		Medium-chain acyl-CoA ligase domain protein	
PP_2899			DUF3188 domain-containing protein
PP_2869		Oxidoreductase, FMN-binding	
PP_2832	GbpR	Galactose-binding protein regulator	
PP_2762	sfnA	Acyl-CoA dehydrogenase/oxidase family protein	
PP_2731			Metal ABC transporter ATPase
PP_2709		Long-chain-fatty-acid--CoA ligase	
PP_2650	gbd	4-hydroxybutyrate dehydrogenase	
PP_2588		Aminotransferase, class III	
PP_2510		Uncharacterized protein	
PP_2432	nfnB	6,7-dihydropteridine reductase	
PP_2424			RNA 2',3'-cyclic phosphodiesterase
PP_2300	clpP		ATP-dependent Clp protease proteolytic subunit
PP_2190		Uncharacterized protein	
PP_2064		Multidrug efflux RND membrane fusion protein	
PP_2055		Isomerase	
PP_1962		Site-specific recombinase, phage integrase family	
PP_1940		Methyl-accepting chemotaxis transducer	
PP_1929	arsB-I		Arsenical pump membrane protein
PP_1862			Probable membrane transporter protein
PP_1859	ohr	Organic hydroperoxide resistance protein	
PP_1853		Transcriptional regulator, LysR family	
PP_1837			Cardiolipin synthase N-terminal domain-containing protein
PP_1818		Uncharacterized protein	
PP_1748			Osmoprotectant NAGGN system M42 family peptidase
PP_1727		Transcriptional regulator, GntR family	
PP_1647			DUF306 domain-containing protein
PP_1608	tilS		tRNA(Ile)-lysidine synthase
PP_1544		Uncharacterized protein	
PP_1364			PilZ domain-containing protein
PP_1279	algJ		Probable alginate O-acetylase AlgJ
PP_1263		Fusaric acid resistance protein	
PP_1244			DUF3077 domain-containing protein
PP_1240	purC		Phosphoribosylaminoimidazole-succinocarboxamide synthase
PP_1227		Membrane protein	
PP_1214			Probable transcriptional regulatory protein PP_1214
PP_1176		Uncharacterized protein	
PP_1033		Sulfatase domain protein	
PP_1027	xseA		Exodeoxyribonuclease 7 large subunit
PP_0956	kdsC		3-deoxy-D-manno-octulosonate 8-phosphate phosphatase KdsC
PP_0702		Major facilitator family transporter	
PP_0650			Transposase IS66 C-terminal domain-containing protein
PP_0604	lspA		Lipoprotein signal peptidase
PP_0568			Transposase IS200-like domain-containing protein
PP_0438	coaX		Type III pantothenate kinase
PP_0428	hinT	Aminoacyl-adenylate hydrolase/purine nucleoside phosphoramidase	
PP_0421	trpD		Anthranilate phosphoribosyltransferase
PP_0379	pqqB		Coenzyme PQQ synthesis protein B
PP_0378	pqqC		Pyrroloquinoline-quinone synthase
PP_0377	pqqD1		PqqA binding protein 1
PP_0339	aceE		Pyruvate dehydrogenase E1 component
PP_0284	gabP-I	Gamma-aminobutyrate permease	
PP_0271	gltR-I	DNA-binding response regulator	
PP_0196	yheS	Of ABC superfamily informational factor: ATP-binding components	
PP_0161		Transmembrane sensor	
PP_1529	csdA		Probable cysteine desulfurase
PP_5543		Uncharacterized protein	
PP_5600			DUF2946 domain-containing protein
PP_5618		Cro/CI transcriptional regulator	
PP_5684		Uncharacterized protein	
PP_5689		Uncharacterized protein	
PP_4496	rluB		Pseudouridine synthase
PP_5704			MFS transporter
PP_5726			SSU ribosomal protein S2p (SAe)
PP_5406		Transposase	
PP_5378		Metal-binding protein	
PP_5361		47 kDa protein	
PP_5327			Phosphate transport system permease protein PstA
PP_5277		Major facilitator family transporter	
PP_5186	argE	Acetylornithine deacetylase	
PP_5181	spuD	Spermidine/putrescine ABC transporter-periplasmic subunit	
PP_5139	cadA-III	Cadmium translocating P-type ATPase	
PP_5105		Sulfur carrier protein ThiS	
PP_5079	aroK		Shikimate kinase
PP_5043		PhoPQ-activated pathogenicity-related protein	
PP_4990	pilI	Protein PilI	
PP_4952	dbpA	ATP-dependent RNA helicase, specific for 23S rRNA	
PP_4924		Serine protease, subtilase family	
PP_4754		Transcriptional regulator, TetR family	
PP_4584	yajD	Endonuclease	
PP_4553		RNA polymerase sigma-70 factor, ECF subfamily	
PP_4467		Transcriptional regulator, LysR family	
PP_4354	fliQ		Flagellar biosynthetic protein FliQ
PP_4301	pyk		Pyruvate kinase
PP_4296			GlcG protein
PP_4289			Cytochrome c domain-containing protein
PP_4279	xdhB	Xanthine dehydrogenase subunit XdhB	
PP_4260			FixH family protein
PP_4254		Uncharacterized protein	
PP_3962			DUF1264 domain-containing protein
PP_3928			Nickel/cobalt transporter regulator
PP_3785		Uncharacterized protein	
PP_3775		Sarcosine oxidase	
PP_3660		Transcriptional regulator, LysR family	
PP_3620	ycaO	Cofactor of beta-methylthiolation of ribosomal protein S12	
PP_3576		Transmembrane sensor	
PP_3344	nikC	Nickel ABC transporter permease subunit	
PP_3323		CobW/P47K family protein	
PP_3315			Diguanylate cyclase
PP_3212		Rieske 2Fe-2S family protein	
PP_3192			YheO domain-containing protein
PP_3184	mcoA	Mn(II) copper oxidase A	
PP_2992			DJ-1/PfpI domain-containing protein
PP_2957		Acetyltransferase, GNAT family	
PP_2948		Transcriptional regulator, GntR family	
PP_2877	yfeH	Osmotic pressure-regulated transporter	
PP_2829		Transcriptional regulator, GntR family	
PP_2788		MerR family transcriptional regulator	
PP_2720		Uncharacterized protein	
PP_2702		Porin	
PP_2680	aldB-II	Aldehyde dehydrogenase	
PP_2656	pstS		Phosphate-binding protein PstS
PP_2517	galP		Porin-like protein GalP
PP_2485			Luciferase-like domain-containing protein
PP_2419			Heparan-alpha-glucosaminide N-acetyltransferase catalytic domain-containing protein
PP_2414			Lipoprotein
PP_2324	aroF-I		Phospho-2-dehydro-3-deoxyheptonate aldolase
PP_2305			PNPLA domain-containing protein
PP_2303	hupB	DNA binding regulator, beta subunit B	
PP_2258		Sensory box protein	
PP_2253		Transcriptional regulator, GntR family	
PP_2108			Peptidase M15A C-terminal domain-containing protein
PP_1888		Fimbrial protein	
PP_1842		Glutamine amidotransferase, class I	
PP_1792		Glycosyl transferase, group 2 family protein	
PP_1705	nirB	Nitrite reductase [NAD(P)H] large subunit	
PP_1562		Phage terminase, small subunit	
PP_1552		Phage replication protein	
PP_1422			HDOD domain-containing protein
PP_1159			Integral membrane protein
PP_1101		Uncharacterized protein	
PP_1091			Leucyl-tRNA synthetase
PP_1017	gtsC	Mannose/glucose ABC transporter, permease protein	
PP_0972			UPF0213 protein PP_0972
PP_0871		Glycine betaine/carnitine/choline ABC transporter, permease protein	
PP_0842	iscS		Cysteine desulfurase IscS
PP_0824	ptxB	Phosphonate transport system-binding protein	
PP_0760			GDT1 family protein
PP_0653		Uncharacterized protein	
PP_0613		Amidase family protein	
PP_0555	acoA	Acetoin:2,6-dichlorophenolindophenol oxidoreductase subunit alpha	
PP_0413		Polyamine ABC transporter, permease protein	
PP_0409			Oxygen sensor histidine kinase NreB
PP_0368		Acyl-CoA dehydrogenase	
PP_0326	soxG	Sarcosine oxidase subunit gamma	
PP_0306		Uncharacterized protein	
PP_0289	hisB		Imidazoleglycerol-phosphate dehydratase
PP_0282	artJ	L-arginine ABC transporter-periplasmic binding subunit	
PP_0208		Nitrate ABC transporter, permease protein	
PP_0183		Glutathione S-transferase	
PP_0175		Transcriptional regulator	
PP_0171		ABC transporter, ATP-binding protein	
PP_0166			Membrane fusion protein (MFP) family protein
PP_0098		Uncharacterized protein	
PP_0067	fmt		Methionyl-tRNA formyltransferase
PP_0048			PilZ domain-containing protein
PP_5457			DUF2007 domain-containing protein
PP_5463		Uncharacterized protein	
PP_5480			Lipoprotein
PP_5530		Uncharacterized protein	
PP_5624		Uncharacterized protein	
PP_3739	galP-IV	Porin-like protein	
PP_5636		Uncharacterized protein	
PP_5723			Secreted protein
PP_0446	rplL		Large ribosomal subunit protein bL12
PP_4007	infA		Translation initiation factor IF-1
PP_5398		Transposase	
PP_5372		Aldehyde dehydrogenase	
PP_5298		Glutamine amidotransferase	
PP_5291	pyrE		Orotate phosphoribosyltransferase
PP_5244		Transcriptional regulator, AraC family	
PP_5129			Macro domain-containing protein
PP_5109	ftsX		Cell division protein FtsX
PP_4962			Lipoprotein
PP_4708	pnp		Polyribonucleotide nucleotidyltransferase
PP_4689		Heme/hemin ABC transporter, periplasmic heme/hemin-binding protein	
PP_4601		Transcriptional regulator, LysR family	
PP_4591	rnd		Ribonuclease D
PP_4515		Transcriptional regulator, MarR family	
PP_4506			Putative NAD(P)H nitroreductase
PP_4505			histidine kinase
PP_4459		Transposase	
PP_4418		Uncharacterized protein	
PP_4412		Uncharacterized protein	
PP_4177			Pirin family protein
PP_4172			ABC transporter substrate-binding protein
PP_3977		Uncharacterized protein	
PP_3879		Phage portal protein, HK97 family	
PP_3798			Thiamine pyrophosphate-binding protein
PP_3766	gloA		Lactoylglutathione lyase
PP_3711		Diguanylate cyclase	
PP_3637		Sulfonate ABC transporter, ATP-binding protein	
PP_3634		Acetyltransferase, GNAT family	
PP_3449			Bacteriophage N4 receptor, outer membrane subunit
PP_3446	ilvA-I		L-threonine dehydratase
PP_3311	kefB-II	Glutathione-regulated potassium/H+ antiporter	
PP_3293			Potassium channel domain-containing protein
PP_3267		Clp protease	
PP_3266			DUF72 domain-containing protein
PP_3223		ABC transporter, periplasmic binding protein	
PP_3171			Luciferase-like domain-containing protein
PP_3143		Transcriptional regulator, LysR family	
PP_3128		Exopolysaccharide biosynthesis/transport protein	
PP_3120	yeaE	Methylglyoxal reductase	
PP_3059		Tail sheath protein	
PP_2900			Fe2+ zn2+ uptake regulation protein
PP_2896			Mor transcription activator domain-containing protein
PP_2669		Outer membrane protein	
PP_2627			Type VI secretion system membrane subunit TssM
PP_2592		Ferric siderophore ABC transporter, ATP-binding protein	
PP_2591	fatB	Ferric anguibactin-binding protein	
PP_2566			RING-type E3 ubiquitin transferase
PP_2405			Thioredoxin domain-containing protein
PP_2270		DNA primase/helicase protein	
PP_2264		Sugar ABC transporter, periplasmic sugar-binding protein	
PP_2238		Metallopeptidase	
PP_2235			ABM domain-containing protein
PP_2187		Universal stress protein family	
PP_2103		Uncharacterized protein	
PP_2042			DUF1302 domain-containing protein
PP_1823	folE1		GTP cyclohydrolase 1 1
PP_1784	rfbD		dTDP-4-dehydrorhamnose reductase
PP_1769	pheA		Bifunctional chorismate mutase/prephenate dehydratase
PP_1733	minD		Septum site-determining protein MinD
PP_1641	ttcA		tRNA-cytidine(32) 2-sulfurtransferase
PP_1520	plsB		Glycerol-3-phosphate acyltransferase
PP_1517		RND efflux transporter	
PP_1468	xerD		Tyrosine recombinase XerD
PP_1421			Sensor protein QseC
PP_1387	ttgR		Probable HTH-type transcriptional regulator TtgR
PP_1365	sbcB		Exodeoxyribonuclease I
PP_1358		Heme iron utilization protein	
PP_1339	ddlB		D-alanine--D-alanine ligase B
PP_1333	murF		UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
PP_1254	xenA	XenA	
PP_1251	mqo2		Probable malate:quinone oxidoreductase 2
PP_1086	pyrC		Dihydroorotase
PP_1061		ATP-dependent DNA helicase lhr	
PP_1049	gspG		Type II secretion system core protein G
PP_1045	xcpP	Type II secretion pathway protein XcpP	
PP_1029			Probable membrane transporter protein
PP_0997			HTH-type transcriptional regulatory protein TyrR
PP_0938			TIGR02099 family protein
PP_0819	ykgJ		YkgJ family cysteine cluster protein
PP_0806		Surface adhesion protein	
PP_0781		Uncharacterized protein	
PP_0509		Uncharacterized protein	
PP_0503		Major facilitator family transporter	
PP_0429		Oxidoreductase, short chain dehydrogenase/reductase family	
PP_0385		Serine acetyltransferase	
PP_0373	yqaE		YqaE/Pmp3 family membrane protein
PP_0365	bioC		Malonyl-[acyl-carrier protein] O-methyltransferase
PP_0273			DUF3079 domain-containing protein
PP_0228			serine O-acetyltransferase
PP_0197			Small-conductance mechanosensitive channel
PP_0081			4,5-dioxygenase
PP_5461		Uncharacterized protein	
PP_5603		FAD dependent oxidoreductase	
PP_4160	kdpB		Potassium-transporting ATPase ATP-binding subunit
PP_5669		ABC transporter related	
PP_5725		Uncharacterized protein	
PP_1088	argG		Argininosuccinate synthase
PP_4318		Transposase	
PP_5403			Small CPxCG-related zinc finger protein
PP_5386	cusB	Probable copper RND efflux membrane fusion protein, CzcB family	
PP_5334			Transglycosylase
PP_5331		Long-chain acyl-CoA thioester hydrolase	
PP_5218		DedA family protein	
PP_5115		Zinc protease	
PP_4982	yceJ	Cytochrome b561, iron-regulated	
PP_4944		Carbamoyltransferase	
PP_4912	parC		DNA topoisomerase 4 subunit A
PP_4904	motB	Flagellar motor rotation protein	
PP_4828	cobH	Precorrin-8X methylmutase	
PP_4801	lipB		Octanoyltransferase
PP_4799		Muramoyltetrapeptide carboxypeptidase	
PP_4721			MFS transporter
PP_4646	fpr-II		ferredoxin--NADP(+) reductase
PP_4638			Methylenetetrahydrofolate reductase
PP_4433		Amino acid MFS transporter	
PP_4352	flhB		Flagellar biosynthetic protein FlhB
PP_4261		Cation-transporting P-type ATPase	
PP_4229			DUF1851 domain-containing protein
PP_4217	fpvA	Outer membrane ferripyoverdine receptor FpvA, TonB-dependent	
PP_4186	sucC		Succinate--CoA ligase [ADP-forming] subunit beta
PP_4171			TonB-dependent receptor
PP_4144	gloB		Hydroxyacylglutathione hydrolase
PP_4001	fluC		Fluoride-specific ion channel FluC
PP_3946	nicR		HTH-type transcriptional repressor NicR
PP_3869		Phage sheath protein	
PP_3821	galU		UTP--glucose-1-phosphate uridylyltransferase
PP_3807		Thioesterase	
PP_3641		Cytosine/purine/uracil/thiamine/allantoin permease family protein	
PP_3593		Amino acid ABC transporter, periplasmic binding protein	
PP_3532		Transcriptional regulator, AsnC family	
PP_3484		Response regulator receiver protein	
PP_3456	mexB		Efflux pump membrane transporter
PP_3434		Uncharacterized protein	
PP_3412		DNA-binding response regulator, LuxR family	
PP_3378	kguK	2-ketogluconokinase	
PP_3187	codB	Cytosine transporter	
PP_3164	benD	1,6-dihydroxycyclohexa-2,4-diene-1-carboxylate dehydrogenase	
PP_3137		Glycosyl transferase, group 2 family protein	
PP_3069		Outer membrane autotransporter	
PP_2985			GrpB family protein
PP_2982	tnpT-I	Cointegrate resolution protein T Tn4652	
PP_2964		Transposase	
PP_2918	treSA	Trehalose synthase A	
PP_2873			UPF0145 protein PP_2873
PP_2808		Oxidoreductase	
PP_2798		Oxidoreductase	
PP_2778		3-oxoacyl-(Acyl-carrier-protein) synthase II	
PP_2609		Transcriptional regulator, IclR family	
PP_2538		Uncharacterized protein	
PP_2532		Uncharacterized protein	
PP_2403		Chemotaxis protein CheY	
PP_2297		Integrative genetic element Ppu40, integrase	
PP_2296			MarR family transcriptional regulator
PP_2277			ApeA N-terminal domain-containing protein
PP_2163	vacJ	VacJ lipoprotein	
PP_2142	sulA	Cell division inhibitor SulA	
PP_1980			Acyl-CoA thioesterase
PP_1894	gstB	Glutathione S-transferase reducing arsenate to arsenite	
PP_1814			DUF2897 family protein
PP_1802	wbpZ	Glycosyl transferase	
