ACCESSION	UNIPROT_NAME	GID	GENE_NAME	SUBMITTED_PROTEIN_NAME	RECOMMENDED_PTN_NAME
Q88I89	Q88I89_PSEPK	PP_3110		Uncharacterized protein	
Q88IC9	Q88IC9_PSEPK	PP_3070	ppiC-I	Peptidyl-prolyl cis-trans isomerase C (Rotamase C)	
Q88IN9	Q88IN9_PSEPK	PP_2960		Transcriptional regulator, AraC family	
Q88IP8	Q88IP8_PSEPK	PP_2951		Transcriptional regulator, TetR family	
Q88IY1	Q88IY1_PSEPK	PP_2868		Transcriptional regulator, Cro/CI family	
Q88J06	URE3_PSEPK	PP_2843	ureA		Urease subunit gamma
Q88J75	Q88J75_PSEPK	PP_2774	opuA	Glycine betaine ABC transporter, ATPase/permease fusion protein	
Q88JD2	Q88JD2_PSEPK	PP_2717	arsB-II		Arsenical pump membrane protein
Q88JL1	Q88JL1_PSEPK	PP_2638		Cellulose synthase operon C protein	
Q88JN5	Q88JN5_PSEPK	PP_2614	vgrG-I	Type 6 secretion system protein	
Q88JS8	Q88JS8_PSEPK	PP_2569		Metabolite MFS transporter, MHS family	
Q88JV8	Q88JV8_PSEPK	PP_2539		Transcriptional regulator, LysR family	
Q88JW9	Q88JW9_PSEPK	PP_2528		O-acetylhomoserine (Thiol)-lyase	
Q88KA0	Q88KA0_PSEPK	PP_2390		Transcriptional regulator, LysR family	
Q88KL4	Q88KL4_PSEPK	PP_2276		Phage exonuclease	
Q88KM4	Q88KM4_PSEPK	PP_2266			DNA-directed RNA polymerase
Q88KX0	DUSA_PSEPK	PP_2169	dusA		tRNA-dihydrouridine(20/20a) synthase
Q88L00	Q88L00_PSEPK	PP_2138			DUF1653 domain-containing protein
Q88L28	Q88L28_PSEPK	PP_2107			Glutaredoxin
Q88L62	Q88L62_PSEPK	PP_2073		Acetyltransferase, GNAT family	
Q88LS0	EFP_PSEPK	PP_1858	efp		Elongation factor P
Q88LW2	PYRF_PSEPK	PP_1815	pyrF		Orotidine 5'-phosphate decarboxylase
Q88M12	Q88M12_PSEPK	PP_1763	yciK	Oxidoreductase	
Q88MB1	Q88MB1_PSEPK	PP_1663			Dehydrogenase
Q88MI8	Q88MI8_PSEPK	PP_1583		Structural protein P5	
Q88MJ2	Q88MJ2_PSEPK	PP_1579			Tip attachment protein J domain-containing protein
Q88MM8	Q88MM8_PSEPK	PP_1543			Phage protein
Q88MP7	Q88MP7_PSEPK	PP_1523			Phage protein
Q88MR9	Q88MR9_PSEPK	PP_1500		Lipoprotein	
Q88N57	Q88N57_PSEPK	PP_1359			Membrane protein FxsA
Q88N64	Q88N64_PSEPK	PP_1351	panE		2-dehydropantoate 2-reductase
Q88N97	RL13_PSEPK	PP_1315	rplM		Large ribosomal subunit protein uL13
Q88N98	Q88N98_PSEPK	PP_1314	tas	NAD(P)-linked reductase	
Q88NQ9	Q88NQ9_PSEPK	PP_1146			Lipoprotein
Q88NS2	NHAA1_PSEPK	PP_1132	nhaA1		Na(+)/H(+) antiporter NhaA 1
Q88P05	Q88P05_PSEPK	PP_1048	gspF		General secretion pathway protein F
Q88PF8	Q88PF8_PSEPK	PP_0892		Phospholipase family protein	
Q88PK7	Q88PK7_PSEPK	PP_0843	iscU		Iron-sulfur cluster assembly scaffold protein IscU
Q88Q01	Q88Q01_PSEPK	PP_0697	rimI		[Ribosomal protein bS18]-alanine N-acetyltransferase
Q88Q04	Q88Q04_PSEPK	PP_0694			Chromosome partitioning protein
Q88QB9	Q88QB9_PSEPK	PP_0575			Prepilin type IV endopeptidase peptidase domain-containing protein
Q88QE8	Q88QE8_PSEPK	PP_0546		Sigma-54 dependent transcriptional regulator	
Q88QL7	RL30_PSEPK	PP_0472	rpmD		Large ribosomal subunit protein uL30
Q88QM1	RS8_PSEPK	PP_0468	rpsH		Small ribosomal subunit protein uS8
Q88QM7	RL29_PSEPK	PP_0462	rpmC		Large ribosomal subunit protein uL29
Q88QS8	Q88QS8_PSEPK	PP_0410	uhpA	DNA-binding response regulator UhpA	
Q88QX4	Q88QX4_PSEPK	PP_0360	modR	Molybdate transport regulator	
Q88RC5	Q88RC5_PSEPK	PP_0207		Nitrate ABC transporter, periplasmic nitrate-binding protein	
Q88RW4	Q88RW4_PSEPK	PP_0015		Transposon protein	
A0A140FW29	A0A140FW29_PSEPK	PP_1731	rluA		Pseudouridine synthase
A0A140FW44	A0A140FW44_PSEPK	PP_5490		Site-specific DNA recombinase	
A0A140FW45	A0A140FW45_PSEPK	PP_5491			Zinc chelation protein SecC
A0A140FW96	A0A140FW96_PSEPK	PP_5542		Uncharacterized protein	
A0A140FWB7	A0A140FWB7_PSEPK	PP_5565		Uncharacterized protein	
A0A140FWG0	A0A140FWG0_PSEPK	PP_5608		Exported protein	
A0A140FWJ4	A0A140FWJ4_PSEPK	PP_5641		Uncharacterized protein	
A0A140FWK8	A0A140FWK8_PSEPK	PP_4112		Sulphate transporter	
Q88C70	Q88C70_PSEPK	PP_5313	hupA	DNA-binding protein HU-alpha	
Q88C76	Q88C76_PSEPK	PP_5307	exbD		Biopolymer transport protein ExbD
Q88CA8	Q88CA8_PSEPK	PP_5273		Oxidoreductase	
Q88CC3	Q88CC3_PSEPK	PP_5258	amaB		aldehyde dehydrogenase (NAD(+))
Q88CE3	Q88CE3_PSEPK	PP_5238			Fimbrial protein
Q88CV9	Q88CV9_PSEPK	PP_5071	ynfL	DNA-binding transcriptional regulator	
Q88CW1	Q88CW1_PSEPK	PP_5069	trxC	Thioredoxin 2	
Q88CY3	Q88CY3_PSEPK	PP_5046	glnA		Glutamine synthetase
Q88DC7	Q88DC7_PSEPK	PP_4900	queG		Epoxyqueuosine reductase
Q88DI1	Q88DI1_PSEPK	PP_4844	urtD	Urea ABC transporter, ATP-binding protein	
Q88DI6	Q88DI6_PSEPK	PP_4839		Iron-regulated membrane protein	
Q88DI7	Q88DI7_PSEPK	PP_4838	oprC	Outer membrane copper receptor OprC	
Q88DT8	Q88DT8_PSEPK	PP_4731	bamE		Outer membrane protein assembly factor BamE
Q88E52	Q88E52_PSEPK	PP_4616			YebG family protein
Q88EE8	Q88EE8_PSEPK	PP_4517			YecA family protein
Q88EF1	Q88EF1_PSEPK	PP_4514		Esterase of the alpha-beta hydrolase superfamily	
Q88EI2	Q88EI2_PSEPK	PP_4480	astA-II	Arginine N-succinyltransferase, subunit alpha	
Q88ET5	Q88ET5_PSEPK	PP_4368	fliG		Flagellar motor switch protein FliG
Q88EU2	Q88EU2_PSEPK	PP_4361	fliK	Flagellar hook-length control protein FliK	
Q88EX1	Q88EX1_PSEPK	PP_4331			Chemotaxis protein
Q88EY1	Q88EY1_PSEPK	PP_4321	ccmG	Holocytochrome c synthetase subunit	
Q88F40	Q88F40_PSEPK	PP_4259		Iron-sulfur cluster-binding protein	
Q88F91	Q88F91_PSEPK	PP_4207			Histidine kinase
Q88F93	Q88F93_PSEPK	PP_4205	mqsR	mRNA interferase MqsR of the MqsA-MqsR antitoxin/toxin complex and DNA-binding transcriptional repressor	
Q88F95	Q88F95_PSEPK	PP_4203			Electron transfer flavoprotein-ubiquinone oxidoreductase
Q88FA0	Q88FA0_PSEPK	PP_4198		OmpA family protein	
Q88FI0	Q88FI0_PSEPK	PP_4116	aceA		Isocitrate lyase
Q88FM6	Q88FM6_PSEPK	PP_4063		Long-chain-fatty-acid-CoA ligase	
Q88FP9	Q88FP9_PSEPK	PP_4040		Enzyme of the glyoxalase family	
Q88FU5	Q88FU5_PSEPK	PP_3987		Site-specific recombinase, phage integrase family	
Q88FZ4	Q88FZ4_PSEPK	PP_3932		Diguanylate cyclase	
Q88G92	Q88G92_PSEPK	PP_3833		Response regulator	
Q88GA0	Q88GA0_PSEPK	PP_3825			DUF1883 domain-containing protein
Q88GY6	Q88GY6_PSEPK	PP_3579			DUF1345 domain-containing protein
Q88H22	Q88H22_PSEPK	PP_3543		Iron-sulfur cluster-binding protein	
Q88H83	Q88H83_PSEPK	PP_3478		Secretion protein	
Q88H93	Q88H93_PSEPK	PP_3467		Sigma-54 dependent transcriptional regulator	
Q88HE5	Q88HE5_PSEPK	PP_3415		Transcriptional regulator, LacI family	
Q88HW4	Q88HW4_PSEPK	PP_3239	tnpT-II	Cointegrate resolution protein T Tn4652	
Q88I00	Q88I00_PSEPK	PP_3202		Transporter	
Q88I56	Q88I56_PSEPK	PP_3145			DUF3313 domain-containing protein
Q88I79	Q88I79_PSEPK	PP_3122	atoA		3-oxoadipate CoA-transferase
Q88IB0	Q88IB0_PSEPK	PP_3089			Type VI secretion system effector, Hcp1 family
Q88IE4	Q88IE4_PSEPK	PP_3055	gpI	Pyocin R2_PP, tail formation protein	
Q88IH2	Q88IH2_PSEPK	PP_3027			Phage protein
Q88IJ5	Q88IJ5_PSEPK	PP_3004		Uncharacterized protein	
Q88IL6	Q88IL6_PSEPK	PP_2983			DUF6036 domain-containing protein
Q88IS6	Q88IS6_PSEPK	PP_2923			DUF4130 domain-containing protein
Q88IY6	Q88IY6_PSEPK	PP_2863			DUF1294 domain-containing protein
Q88J09	Q88J09_PSEPK	PP_2840		Membrane protein	
Q88J62	Q88J62_PSEPK	PP_2787		Transporter	
Q88J80	Q88J80_PSEPK	PP_2769		Branched-chain amino acid ABC transporter, permease protein	
Q88JH5	Q88JH5_PSEPK	PP_2674	qedH-I	Quinoprotein ethanol dehydrogenase	
Q88JJ1	Q88JJ1_PSEPK	PP_2658	pstA		Phosphate transport system permease protein PstA
Q88KI0	Q88KI0_PSEPK	PP_2310		Methyl-accepting chemotaxis transducer	
Q88KL2	Q88KL2_PSEPK	PP_2278		Uncharacterized protein	
Q88KP8	Q88KP8_PSEPK	PP_2242	fepA	Ferric enterobactin transport system outer membrane subunit	
Q88KT0	PHNW_PSEPK	PP_2209	phnW		2-aminoethylphosphonate--pyruvate transaminase
Q88KX8	Q88KX8_PSEPK	PP_2161			Chromosome partitioning protein ParA
Q88LL1	Q88LL1_PSEPK	PP_1920			HEPN/Toprim N-terminal domain-containing protein
Q88LU2	Q88LU2_PSEPK	PP_1835		Uncharacterized protein	
Q88LU8	Q88LU8_PSEPK	PP_1829		Hydrolase, alpha/beta fold family	
Q88M39	Q88M39_PSEPK	PP_1736			PNPLA domain-containing protein
Q88MC7	Q88MC7_PSEPK	PP_1646		Thioredoxin	
Q88MJ0	Q88MJ0_PSEPK	PP_1581		BNR domain protein	
Q88ML0	Q88ML0_PSEPK	PP_1561		Phage holin	
Q88MN6	Q88MN6_PSEPK	PP_1535		Methyltransferase	
Q88MS5	CHEB3_PSEPK	PP_1493	cheB3		Protein-glutamate methylesterase/protein-glutamine glutaminase of group 3 operon
Q88MT0	Q88MT0_PSEPK	PP_1488		Methyl-accepting chemotaxis transducer	
Q88MX1	Q88MX1_PSEPK	PP_1447			DUF2132 domain-containing protein
Q88NC6	ALG44_PSEPK	PP_1286	alg44		Alginate biosynthesis protein Alg44
Q88P29	Q88P29_PSEPK	PP_1024	eda		2-dehydro-3-deoxy-phosphogluconate aldolase
Q88P62	Q88P62_PSEPK	PP_0991			Putative DNA-binding domain-containing protein
Q88PA5	Q88PA5_PSEPK	PP_0945			Tetratricopeptide repeat protein
Q88PC1	Q88PC1_PSEPK	PP_0929	rlpA		Endolytic peptidoglycan transglycosylase RlpA
Q88PE6	Q88PE6_PSEPK	PP_0904		InaA protein	
Q88PG4	Q88PG4_PSEPK	PP_0886			DUF541 domain-containing protein
Q88PG6	Q88PG6_PSEPK	PP_0884	dppA-II	Dipeptide ABC transporter-periplasmic binding protein	
Q88PT1	Q88PT1_PSEPK	PP_0767		Transcriptional regulator, LuxR family	
Q88PU7	MQO1_PSEPK	PP_0751	mqo1		Probable malate:quinone oxidoreductase 1
Q88Q37	Q88Q37_PSEPK	PP_0661		Transcriptional regulator AmpR	
Q88Q64	Q88Q64_PSEPK	PP_0632	pilD		Prepilin leader peptidase/N-methyltransferase
Q88QB4	Q88QB4_PSEPK	PP_0580		MaoC domain protein	
Q88QH7	Q88QH7_PSEPK	PP_0516	ribAB-I		3,4-dihydroxy-2-butanone 4-phosphate synthase
Q88QH9	Q88QH9_PSEPK	PP_0514	ribD		Riboflavin biosynthesis protein RibD
Q88QJ2	Q88QJ2_PSEPK	PP_0500			dTDP-4-dehydrorhamnose reductase
Q88QY8	Q88QY8_PSEPK	PP_0346		Heptose kinase WapQ	
Q88R05	Q88R05_PSEPK	PP_0329			RHS repeat-associated core domain-containing protein
Q88R12	GLYA1_PSEPK	PP_0322	glyA1		Serine hydroxymethyltransferase 1
Q88R15	Q88R15_PSEPK	PP_0319			Cell division protein ZapA
Q88R83	Q88R83_PSEPK	PP_0250	hslR		Heat shock protein 15
Q88RD2	Q88RD2_PSEPK	PP_0200	nfeD	Membrane bound peptidase, nefD	
A0A140FW37	A0A140FW37_PSEPK	PP_5483			DUF4145 domain-containing protein
A0A140FWA5	A0A140FWA5_PSEPK	PP_5552			DUF1652 domain-containing protein
A0A140FWC0	A0A140FWC0_PSEPK	PP_5568		Uncharacterized protein	
A0A140FWE6	A0A140FWE6_PSEPK	PP_5598			DUF2188 domain-containing protein
A0A140FWJ2	A0A140FWJ2_PSEPK	PP_5639			YceK/YidQ family lipoprotein
A0A140FWT8	A0A140FWT8_PSEPK	PP_5734		Uncharacterized protein	
Q88BY2	Q88BY2_PSEPK	PP_5405		Transposase	
Q88C35	Q88C35_PSEPK	PP_5348		Transcriptional regulator, LysR family	
Q88C39	Q88C39_PSEPK	PP_5344		Acetyltransferase	
Q88C42	Q88C42_PSEPK	PP_5341	potF-IV	Putrescine-binding periplasmic protein	
Q88CL4	Q88CL4_PSEPK	PP_5166		Sigma-54 dependent transcriptional regulator	
Q88CS3	MTGA_PSEPK	PP_5107	mtgA		Biosynthetic peptidoglycan transglycosylase
Q88CW9	Q88CW9_PSEPK	PP_5061	betT-I	Choline transporter	
Q88D26	Q88D26_PSEPK	PP_5002			Gamma-butyrobetaine hydroxylase-like N-terminal domain-containing protein
Q88D63	Q88D63_PSEPK	PP_4964	epd	D-erythrose 4-phosphate dehydrogenase	
Q88D87	Q88D87_PSEPK	PP_4940		Glycosyltransferase	
Q88DC9	Q88DC9_PSEPK	PP_4898	tsaE		tRNA threonylcarbamoyladenosine biosynthesis protein TsaE
Q88DE5	Q88DE5_PSEPK	PP_4881		Iron ABC transporter, periplasmic iron-binding protein	
Q88DJ1	Q88DJ1_PSEPK	PP_4834		SPFH domain/Band 7 family protein	
Q88DU1	GRPE_PSEPK	PP_4728	grpE		Protein GrpE
Q88E27	Q88E27_PSEPK	PP_4641	yjiY	Transporter	
Q88E32	Q88E32_PSEPK	PP_4636	yqeF	Acetyl-CoA acetyltransferase	
Q88E64	Q88E64_PSEPK	PP_4604		Permease of the drug/metabolite transporter (DMT) superfamily	
Q88EB5	Q88EB5_PSEPK	PP_4551		Hydrolase, alpha/beta fold family	
Q88EI3	Q88EI3_PSEPK	PP_4479	astA-I	Arginine N-succinyltransferase, subunit beta	
Q88EM5	Q88EM5_PSEPK	PP_4429		Transcriptional regulator, GntR family	
Q88EU1	Q88EU1_PSEPK	PP_4362			HPt domain-containing protein
Q88EY9	Q88EY9_PSEPK	PP_4311		D-amino acid dehydrogenase 2 small subunit	
Q88F71	Q88F71_PSEPK	PP_4227		Uncharacterized protein	
Q88F96	Q88F96_PSEPK	PP_4202	etfB	Electron transfer flavoprotein subunit beta	
Q88FA6	Q88FA6_PSEPK	PP_4192	sdhD		Succinate dehydrogenase hydrophobic membrane anchor subunit
Q88FP1	Q88FP1_PSEPK	PP_4048		Uncharacterized protein	
Q88FQ6	NHAB_PSEPK	PP_4031	nhaB		Na(+)/H(+) antiporter NhaB
Q88FS4	CLPS_PSEPK	PP_4009	clpS		ATP-dependent Clp protease adapter protein ClpS
Q88G10	Q88G10_PSEPK	PP_3916			DUF2591 domain-containing protein
Q88G59	Q88G59_PSEPK	PP_3866			ArsR family transcriptional regulator
Q88G84	Q88G84_PSEPK	PP_3841		Transcriptional regulator, MerR family	
Q88GH7	Q88GH7_PSEPK	PP_3746	glcE	Glycolate oxidase, putative FAD-binding subunit	
Q88GP2	Q88GP2_PSEPK	PP_3678			Tyr recombinase domain-containing protein
Q88GY7	Q88GY7_PSEPK	PP_3578	pgm	Phosphoglucomutase	
Q88H43	Q88H43_PSEPK	PP_3522			RidA family protein
Q88H52	Q88H52_PSEPK	PP_3513		Transcriptional regulator, LysR family	
Q88H60	Q88H60_PSEPK	PP_3505			VWFA domain-containing protein
Q88HF9	Q88HF9_PSEPK	PP_3400	alkB	Alpha-ketoglutarate-and Fe(II)-dependent dioxygenase	
Q88HG7	Q88HG7_PSEPK	PP_3391		Tartrate MFS transporter	
Q88HI6	Q88HI6_PSEPK	PP_3371			histidine kinase
Q88HM4	Q88HM4_PSEPK	PP_3330		Outer membrane ferric siderophore receptor	
Q88IF1	Q88IF1_PSEPK	PP_3048			ATP-binding sugar transporter from pro-phage
Q88IL5	Q88IL5_PSEPK	PP_2984		Uncharacterized protein	
Q88IS3	Q88IS3_PSEPK	PP_2926	udg		UDP-glucose 6-dehydrogenase
Q88J28	Q88J28_PSEPK	PP_2821			Phosphate ABC transporter substrate-binding protein
Q88J94	Q88J94_PSEPK	PP_2755	sfnB	Sulfur acquisition oxidoreductase, SfnB family	
Q88JA5	Q88JA5_PSEPK	PP_2744		Ribose-phosphate pyrophosphokinase family protein	
Q88JA8	Q88JA8_PSEPK	PP_2741			Small-conductance mechanosensitive channel
Q88JF1	Q88JF1_PSEPK	PP_2698	metE	5-methyltetrahydropteroyltriglutamate-homocysteine methyltransferase	
Q88JI3	Q88JI3_PSEPK	PP_2666			Rhodanese domain-containing protein
Q88JI6	Q88JI6_PSEPK	PP_2663			GfdT protein
Q88JM3	Q88JM3_PSEPK	PP_2626			ImpA N-terminal domain-containing protein
Q88JR9	Q88JR9_PSEPK	PP_2580			DUF2986 domain-containing protein
Q88JW2	Q88JW2_PSEPK	PP_2535		Inner membrane transport protein	
Q88K23	SYFA_PSEPK	PP_2469	pheS		Phenylalanine--tRNA ligase alpha subunit
Q88K52	Q88K52_PSEPK	PP_2439	ahpC		Alkyl hydroperoxide reductase C
Q88K70	Q88K70_PSEPK	PP_2421		Acetyltransferase, GNAT family	
Q88K85	Q88K85_PSEPK	PP_2406	aroE		Shikimate dehydrogenase (NADP(+))
Q88KA8	Q88KA8_PSEPK	PP_2382		Transporter	
Q88KL0	Q88KL0_PSEPK	PP_2280		Uncharacterized protein	
Q88KM5	FOLD2_PSEPK	PP_2265	folD2		Bifunctional protein FolD 2
Q88KU2	Q88KU2_PSEPK	PP_2197			Lipoprotein
Q88L08	Q88L08_PSEPK	PP_2129			MOSC domain-containing protein
Q88L18	Q88L18_PSEPK	PP_2119		ABC efflux transporter, permease/ATP-binding protein	
Q88L43	Q88L43_PSEPK	PP_2092	nasA		Nitrate/nitrite transporter
Q88LK1	ARSR1_PSEPK	PP_1930	arsR1		Arsenic resistance transcriptional regulator ArsR1
Q88LK8	Q88LK8_PSEPK	PP_1923			DUF4393 domain-containing protein
Q88LM8	Y1901_PSEPK	PP_1901			UPF0434 protein PP_1901
Q88M26	Q88M26_PSEPK	PP_1749		GNAT family acetyltransferase	
Q88M56	Q88M56_PSEPK	PP_1718		Diguanylate phosphodiesterase containing EAL domain	
Q88MB5	Q88MB5_PSEPK	PP_1659			Cytochrome C
Q88MF4	Q88MF4_PSEPK	PP_1617	frmC		S-formylglutathione hydrolase
Q88MH6	UPPS_PSEPK	PP_1595	uppS		Ditrans,polycis-undecaprenyl-diphosphate synthase ((2E,6E)-farnesyl-diphosphate specific)
Q88MT5	Q88MT5_PSEPK	PP_1483	ydcU	Polyamine ABC transporter, permease protein	
Q88N42	Q88N42_PSEPK	PP_1374			Beta-ketoadipyl CoA thiolase
Q88NB6	Q88NB6_PSEPK	PP_1296	estB	Carboxylesterase 2	
Q88NU8	Q88NU8_PSEPK	PP_1106			DNA ligase-associated DEXH box helicase
Q88NY3	Q88NY3_PSEPK	PP_1070	gltJ	Glutamate / aspartate ABC transporter-permease subunit	
Q88P01	Q88P01_PSEPK	PP_1052	xcpW	Type II secretion pathway protein XcpW	
Q88PL4	Q88PL4_PSEPK	PP_0836	secF		Protein-export membrane protein SecF
Q88PU4	Q88PU4_PSEPK	PP_0754		Uncharacterized protein	
Q88PW6	HEM1_PSEPK	PP_0732	hemA		Glutamyl-tRNA reductase
Q88Q10	RL21_PSEPK	PP_0688	rplU		Large ribosomal subunit protein bL21
Q88Q21	Q88Q21_PSEPK	PP_0677		Lipoprotein	
Q88Q70	Q88Q70_PSEPK	PP_0626	ndh	NADH dehydrogenase	
Q88QK2	Q88QK2_PSEPK	PP_0488		NADP-dependent dehydrogenase HI_1430	
Q88QL6	RL15_PSEPK	PP_0473	rplO		Large ribosomal subunit protein uL15
Q88QZ7	Q88QZ7_PSEPK	PP_0337		Sensory box protein	
Q88R56	Q88R56_PSEPK	PP_0278			DUF3077 domain-containing protein
Q88R80	Q88R80_PSEPK	PP_0254			Thioesterase
Q88RA4	Q88RA4_PSEPK	PP_0229	betT-II	Choline/carnitine/betaine transporter	
Q88RA7	Q88RA7_PSEPK	PP_0226	sctS	Sulfur compound ABC transporter-permease subunit	
Q88RJ4	Y135_PSEPK	PP_0135			UPF0391 membrane protein PP_0135
Q88RL7	Q88RL7_PSEPK	PP_0112	metQ	Methionine ABC transporter, periplasmic binding protein	
A0A140FVZ8	A0A140FVZ8_PSEPK	PP_5448		Uncharacterized protein	
A0A140FW05	A0A140FW05_PSEPK	PP_5455			Peptidase M15A C-terminal domain-containing protein
A0A140FW49	A0A140FW49_PSEPK	PP_5494		Uncharacterized protein	
A0A140FWD9	A0A140FWD9_PSEPK	PP_5591		Uncharacterized protein	
A0A140FWH7	A0A140FWH7_PSEPK	PP_5625		Uncharacterized protein	
A0A140FWS2	A0A140FWS2_PSEPK	PP_5718			DUF4234 domain-containing protein
Q88C72	Q88C72_PSEPK	PP_5311		Signal transduction protein	
Q88CA2	Q88CA2_PSEPK	PP_5279			(S)-ureidoglycine aminohydrolase cupin domain-containing protein
Q88CF3	DAPF_PSEPK	PP_5228	dapF		Diaminopimelate epimerase
Q88CY4	THII_PSEPK	PP_5045	thiI		tRNA sulfurtransferase
Q88CY8	Q88CY8_PSEPK	PP_5041	glgP		Alpha-1,4 glucan phosphorylase
Q88D62	Q88D62_PSEPK	PP_4965	tktA		Transketolase
Q88DH5	Q88DH5_PSEPK	PP_4850			AI-2E family transporter
Q88DI2	Q88DI2_PSEPK	PP_4843	urtC	Urea ABC transporter, permease protein	
Q88DQ7	Q88DQ7_PSEPK	PP_4766	rhlE-I	ATP-dependent RNA helicase	
Q88DS0	Q88DS0_PSEPK	PP_4753	stcD	N-methylproline demethylase	
Q88E73	Q88E73_PSEPK	PP_4593			DUF465 domain-containing protein
Q88E77	Q88E77_PSEPK	PP_4589		D-isomer specific 2-hydroxyacid dehydrogenase family protein	
Q88E93	Q88E93_PSEPK	PP_4573		ATPase, AAA family	
Q88EA2	Q88EA2_PSEPK	PP_4564		Lipoprotein	
Q88EA3	Q88EA3_PSEPK	PP_4563			RNA-binding domain-containing protein
Q88EB9	Q88EB9_PSEPK	PP_4547		Glutamine synthetase	
Q88EK0	Q88EK0_PSEPK	PP_4462			4-hydroxy-4-methyl-2-oxoglutarate aldolase
Q88F09	Q88F09_PSEPK	PP_4291			Nucleoside-specific outer membrane channel protein Tsx
Q88FX3	Q88FX3_PSEPK	PP_3954			C4-dicarboxylate ABC transporter
Q88FY2	6HN3M_PSEPK	PP_3944	nicC		6-hydroxynicotinate 3-monooxygenase
Q88GA8	Q88GA8_PSEPK	PP_3816		Polyamine ABC transporter, permease protein	
Q88GD2	Q88GD2_PSEPK	PP_3792		Uncharacterized protein	
Q88GG5	Q88GG5_PSEPK	PP_3759		Methylesterase, CheB-like	
Q88GG6	Q88GG6_PSEPK	PP_3758			histidine kinase
Q88GN0	Q88GN0_PSEPK	PP_3691		DNA helicase-related protein	
Q88GQ9	Q88GQ9_PSEPK	PP_3659		Transcriptional regulator, AraC family	
Q88H13	Q88H13_PSEPK	PP_3552			histidine kinase
Q88HA7	Q88HA7_PSEPK	PP_3453			histidine kinase
Q88HF7	Q88HF7_PSEPK	PP_3402			DUF1652 domain-containing protein
Q88HP0	Q88HP0_PSEPK	PP_3313		Heat shock protein	
Q88HS2	Q88HS2_PSEPK	PP_3281	paaI	Hydroxyphenylacetyl-CoA thioesterase	
Q88HW1	Q88HW1_PSEPK	PP_3242		GGDEF domain protein	
Q88HZ1	Q88HZ1_PSEPK	PP_3211		ABC transporter, ATP-binding protein	
Q88IA4	Q88IA4_PSEPK	PP_3095	clpV	Protein ClpV1	
Q88IK9	Q88IK9_PSEPK	PP_2990		Transcriptional regulator, MerR family	
Q88IW3	Q88IW3_PSEPK	PP_2886		Cytochrome b561	
Q88IW7	Q88IW7_PSEPK	PP_2882			2-hydroxychromene-2-carboxylate isomerase
Q88J44	BVMO_PSEPK	PP_2805			Baeyer-Villiger monooxygenase
Q88J76	Q88J76_PSEPK	PP_2773		Uncharacterized protein	
Q88J90	RBSA_PSEPK	PP_2759	rbsA		Ribose import ATP-binding protein RbsA
Q88JA3	Q88JA3_PSEPK	PP_2746	dmoA-I	Dimethyl-sulfide monooxygenase	
Q88JC7	Q88JC7_PSEPK	PP_2722			Hemerythrin-like domain-containing protein
Q88JD5	Q88JD5_PSEPK	PP_2714			Sensor protein QseC
Q88JN1	Q88JN1_PSEPK	PP_2618			Type VI secretion system lipoprotein TssJ
Q88JR0	Q88JR0_PSEPK	PP_2589		Aldehyde dehydrogenase family protein	
Q88K13	Q88K13_PSEPK	PP_2480		Xanthine dehydrogenase accessory factor	
Q88KE1	Q88KE1_PSEPK	PP_2349		CBS domain protein	
Q88KE9	Q88KE9_PSEPK	PP_2341	queD		6-carboxy-5,6,7,8-tetrahydropterin synthase
Q88KL1	Q88KL1_PSEPK	PP_2279		Head-to-tail joining protein	
Q88KM8	Q88KM8_PSEPK	PP_2262		Sugar ABC transporter, permease protein	
Q88KN6	Q88KN6_PSEPK	PP_2254		Transcriptional regulator, GntR family	
Q88KP3	Q88KP3_PSEPK	PP_2247		Endoribonuclease	
Q88KQ0	Q88KQ0_PSEPK	PP_2240		ABC efflux transporter, permease/ATP-binding protein	
Q88KQ7	Q88KQ7_PSEPK	PP_2233		Hydrolase, isochorismatase family	
Q88KZ9	Q88KZ9_PSEPK	PP_2139	topA		DNA topoisomerase 1
Q88L33	Q88L33_PSEPK	PP_2102	dgt	Deoxyguanosinetriphosphate triphosphohydrolase-like protein	
Q88L56	Q88L56_PSEPK	PP_2079		Uncharacterized protein	
Q88L97	Q88L97_PSEPK	PP_2038		Long-chain-fatty-acid--CoA ligase	
Q88LC2	Q88LC2_PSEPK	PP_2013			Calcineurin-like phosphoesterase domain-containing protein
Q88LI1	Q88LI1_PSEPK	PP_1951		Oxidoreductase, short chain dehydrogenase/reductase family	
Q88LJ1	Q88LJ1_PSEPK	PP_1941			HTH tetR-type domain-containing protein
Q88LL6	Q88LL6_PSEPK	PP_1914	fabG		3-oxoacyl-[acyl-carrier-protein] reductase
Q88LP0	Q88LP0_PSEPK	PP_1889	fimD	Type 1 pili subunit FimD	
Q88LQ7	Q88LQ7_PSEPK	PP_1872	alaA	Glutamate-pyruvate aminotransferase	
Q88LU3	Q88LU3_PSEPK	PP_1834		Uncharacterized protein	
Q88M14	Q88M14_PSEPK	PP_1761	yegE	Diguanylate cyclase with phosphodiesterase domain	
Q88M92	Q88M92_PSEPK	PP_1682		Glycoside hydrolase family protein	
Q88MC0	Q88MC0_PSEPK	PP_1654	cysM		Cysteine synthase
Q88N47	Q88N47_PSEPK	PP_1369			DUF2334 domain-containing protein
